DATE,DGS3MO
2016-02-18,0.30
2016-02-19,0.31
2016-02-22,0.33
2016-02-23,0.32
2016-02-24,0.33
2016-02-25,0.32
2016-02-26,0.33
2016-02-29,0.33
2016-03-01,0.33
2016-03-02,0.36
2016-03-03,0.28
2016-03-04,0.29
2016-03-07,0.32
2016-03-08,0.29
2016-03-09,0.30
2016-03-10,0.32
2016-03-11,0.33
2016-03-14,0.34
2016-03-15,0.34
2016-03-16,0.31
2016-03-17,0.29
2016-03-18,0.30
2016-03-21,0.31
2016-03-22,0.30
2016-03-23,0.30
2016-03-24,0.30
2016-03-25,.
2016-03-28,0.29
2016-03-29,0.23
2016-03-30,0.20
2016-03-31,0.21
2016-04-01,0.23
2016-04-04,0.23
2016-04-05,0.23
2016-04-06,0.23
2016-04-07,0.23
2016-04-08,0.23
2016-04-11,0.23
2016-04-12,0.22
2016-04-13,0.23
2016-04-14,0.22
2016-04-15,0.22
2016-04-18,0.22
2016-04-19,0.21
2016-04-20,0.23
2016-04-21,0.23
2016-04-22,0.23
2016-04-25,0.25
2016-04-26,0.24
2016-04-27,0.24
2016-04-28,0.22
2016-04-29,0.22
2016-05-02,0.22
2016-05-03,0.21
2016-05-04,0.19
2016-05-05,0.20
2016-05-06,0.19
2016-05-09,0.24
2016-05-10,0.24
2016-05-11,0.26
2016-05-12,0.27
2016-05-13,0.29
2016-05-16,0.28
2016-05-17,0.28
2016-05-18,0.30
2016-05-19,0.31
2016-05-20,0.33
2016-05-23,0.35
2016-05-24,0.35
2016-05-25,0.33
2016-05-26,0.31
2016-05-27,0.32
2016-05-30,.
2016-05-31,0.34
2016-06-01,0.30
2016-06-02,0.29
2016-06-03,0.30
2016-06-06,0.28
2016-06-07,0.28
2016-06-08,0.24
2016-06-09,0.26
2016-06-10,0.26
2016-06-13,0.27
2016-06-14,0.27
2016-06-15,0.26
2016-06-16,0.27
2016-06-17,0.27
2016-06-20,0.28
2016-06-21,0.27
2016-06-22,0.27
2016-06-23,0.31
2016-06-24,0.27
2016-06-27,0.27
2016-06-28,0.26
2016-06-29,0.26
2016-06-30,0.26
2016-07-01,0.28
2016-07-04,.
2016-07-05,0.28
2016-07-06,0.27
2016-07-07,0.29
2016-07-08,0.28
2016-07-11,0.31
2016-07-12,0.29
2016-07-13,0.31
2016-07-14,0.32
2016-07-15,0.32
2016-07-18,0.32
2016-07-19,0.31
2016-07-20,0.32
2016-07-21,0.32
2016-07-22,0.33
2016-07-25,0.32
2016-07-26,0.31
2016-07-27,0.31
2016-07-28,0.25
2016-07-29,0.28
2016-08-01,0.29
2016-08-02,0.29
2016-08-03,0.28
2016-08-04,0.26
2016-08-05,0.28
2016-08-08,0.31
2016-08-09,0.29
2016-08-10,0.28
2016-08-11,0.28
2016-08-12,0.29
2016-08-15,0.31
2016-08-16,0.27
2016-08-17,0.30
2016-08-18,0.30
2016-08-19,0.30
2016-08-22,0.29
2016-08-23,0.30
2016-08-24,0.31
2016-08-25,0.33
2016-08-26,0.34
2016-08-29,0.33
2016-08-30,0.33
2016-08-31,0.33
2016-09-01,0.33
2016-09-02,0.33
2016-09-05,.
2016-09-06,0.32
2016-09-07,0.34
2016-09-08,0.35
2016-09-09,0.35
2016-09-12,0.37
2016-09-13,0.36
2016-09-14,0.33
2016-09-15,0.29
2016-09-16,0.30
2016-09-19,0.30
2016-09-20,0.30
2016-09-21,0.22
2016-09-22,0.18
2016-09-23,0.18
2016-09-26,0.25
2016-09-27,0.26
2016-09-28,0.27
2016-09-29,0.26
2016-09-30,0.29
2016-10-03,0.32
2016-10-04,0.33
2016-10-05,0.32
2016-10-06,0.33
2016-10-07,0.33
2016-10-10,.
2016-10-11,0.35
2016-10-12,0.37
2016-10-13,0.30
2016-10-14,0.32
2016-10-17,0.34
2016-10-18,0.34
2016-10-19,0.35
2016-10-20,0.35
2016-10-21,0.34
2016-10-24,0.33
2016-10-25,0.34
2016-10-26,0.33
2016-10-27,0.30
2016-10-28,0.30
2016-10-31,0.34
2016-11-01,0.35
2016-11-02,0.37
2016-11-03,0.38
2016-11-04,0.38
2016-11-07,0.41
2016-11-08,0.43
2016-11-09,0.45
2016-11-10,0.48
2016-11-11,.
2016-11-14,0.55
2016-11-15,0.51
2016-11-16,0.47
2016-11-17,0.44
2016-11-18,0.44
2016-11-21,0.46
2016-11-22,0.49
2016-11-23,0.51
2016-11-24,.
2016-11-25,0.49
2016-11-28,0.48
2016-11-29,0.48
2016-11-30,0.48
2016-12-01,0.48
2016-12-02,0.49
2016-12-05,0.49
2016-12-06,0.49
2016-12-07,0.52
2016-12-08,0.51
2016-12-09,0.54
2016-12-12,0.51
2016-12-13,0.54
2016-12-14,0.55
2016-12-15,0.51
2016-12-16,0.51
2016-12-19,0.52
2016-12-20,0.52
2016-12-21,0.52
2016-12-22,0.51
2016-12-23,0.52
2016-12-26,.
2016-12-27,0.51
2016-12-28,0.53
2016-12-29,0.47
2016-12-30,0.51
2017-01-02,.
2017-01-03,0.53
2017-01-04,0.53
2017-01-05,0.52
2017-01-06,0.53
2017-01-09,0.50
2017-01-10,0.52
2017-01-11,0.52
2017-01-12,0.52
2017-01-13,0.53
2017-01-16,.
2017-01-17,0.55
2017-01-18,0.53
2017-01-19,0.52
2017-01-20,0.50
2017-01-23,0.51
2017-01-24,0.51
2017-01-25,0.50
2017-01-26,0.51
2017-01-27,0.52
2017-01-30,0.51
2017-01-31,0.52
2017-02-01,0.51
2017-02-02,0.52
2017-02-03,0.51
2017-02-06,0.53
2017-02-07,0.53
2017-02-08,0.54
2017-02-09,0.54
2017-02-10,0.55
2017-02-13,0.52
2017-02-14,0.54
2017-02-15,0.54
2017-02-16,0.53
2017-02-17,0.53
2017-02-20,.
2017-02-21,0.53
2017-02-22,0.52
2017-02-23,0.51
2017-02-24,0.52
2017-02-27,0.50
2017-02-28,0.53
2017-03-01,0.63
2017-03-02,0.67
2017-03-03,0.71
2017-03-06,0.74
2017-03-07,0.76
2017-03-08,0.73
2017-03-09,0.73
2017-03-10,0.75
2017-03-13,0.79
2017-03-14,0.78
2017-03-15,0.73
2017-03-16,0.73
2017-03-17,0.73
2017-03-20,0.76
2017-03-21,0.77
2017-03-22,0.77
2017-03-23,0.76
2017-03-24,0.78
2017-03-27,0.78
2017-03-28,0.78
2017-03-29,0.78
2017-03-30,0.78
2017-03-31,0.76
2017-04-03,0.79
2017-04-04,0.79
2017-04-05,0.80
2017-04-06,0.79
2017-04-07,0.82
2017-04-10,0.82
2017-04-11,0.82
2017-04-12,0.81
2017-04-13,0.81
2017-04-14,.
2017-04-17,0.83
2017-04-18,0.82
2017-04-19,0.81
2017-04-20,0.79
2017-04-21,0.79
2017-04-24,0.81
2017-04-25,0.82
2017-04-26,0.83
2017-04-27,0.81
2017-04-28,0.80
2017-05-01,0.83
2017-05-02,0.82
2017-05-03,0.85
2017-05-04,0.86
2017-05-05,0.90
2017-05-08,0.91
2017-05-09,0.91
2017-05-10,0.90
2017-05-11,0.89
2017-05-12,0.88
2017-05-15,0.90
2017-05-16,0.90
2017-05-17,0.90
2017-05-18,0.93
2017-05-19,0.92
2017-05-22,0.93
2017-05-23,0.92
2017-05-24,0.93
2017-05-25,0.94
2017-05-26,0.94
2017-05-29,.
2017-05-30,0.93
2017-05-31,0.98
2017-06-01,0.98
2017-06-02,0.98
2017-06-05,0.96
2017-06-06,0.97
2017-06-07,1.00
2017-06-08,1.01
2017-06-09,1.01
2017-06-12,0.98
2017-06-13,1.00
2017-06-14,1.01
2017-06-15,1.02
2017-06-16,1.03
2017-06-19,1.02
2017-06-20,1.01
2017-06-21,0.99
2017-06-22,0.96
2017-06-23,0.97
2017-06-26,0.99
2017-06-27,1.00
2017-06-28,1.02
2017-06-29,1.04
2017-06-30,1.03
2017-07-03,1.06
2017-07-04,.
2017-07-05,1.05
2017-07-06,1.04
2017-07-07,1.05
2017-07-10,1.04
2017-07-11,1.05
2017-07-12,1.05
2017-07-13,1.05
2017-07-14,1.04
2017-07-17,1.07
2017-07-18,1.07
2017-07-19,1.11
2017-07-20,1.15
2017-07-21,1.16
2017-07-24,1.17
2017-07-25,1.18
