DATE,DGS1MO
2016-02-17,0.28
2016-02-18,0.28
2016-02-19,0.26
2016-02-22,0.28
2016-02-23,0.28
2016-02-24,0.28
2016-02-25,0.27
2016-02-26,0.26
2016-02-29,0.23
2016-03-01,0.29
2016-03-02,0.28
2016-03-03,0.25
2016-03-04,0.25
2016-03-07,0.27
2016-03-08,0.27
2016-03-09,0.27
2016-03-10,0.27
2016-03-11,0.27
2016-03-14,0.28
2016-03-15,0.29
2016-03-16,0.28
2016-03-17,0.29
2016-03-18,0.27
2016-03-21,0.26
2016-03-22,0.28
2016-03-23,0.27
2016-03-24,0.24
2016-03-25,.
2016-03-28,0.19
2016-03-29,0.18
2016-03-30,0.14
2016-03-31,0.18
2016-04-01,0.20
2016-04-04,0.18
2016-04-05,0.19
2016-04-06,0.19
2016-04-07,0.20
2016-04-08,0.20
2016-04-11,0.19
2016-04-12,0.21
2016-04-13,0.21
2016-04-14,0.21
2016-04-15,0.19
2016-04-18,0.16
2016-04-19,0.18
2016-04-20,0.18
2016-04-21,0.19
2016-04-22,0.19
2016-04-25,0.17
2016-04-26,0.19
2016-04-27,0.18
2016-04-28,0.17
2016-04-29,0.16
2016-05-02,0.11
2016-05-03,0.18
2016-05-04,0.18
2016-05-05,0.20
2016-05-06,0.20
2016-05-09,0.21
2016-05-10,0.25
2016-05-11,0.25
2016-05-12,0.25
2016-05-13,0.25
2016-05-16,0.21
2016-05-17,0.25
2016-05-18,0.25
2016-05-19,0.25
2016-05-20,0.26
2016-05-23,0.26
2016-05-24,0.28
2016-05-25,0.24
2016-05-26,0.17
2016-05-27,0.23
2016-05-30,.
2016-05-31,0.27
2016-06-01,0.27
2016-06-02,0.19
2016-06-03,0.19
2016-06-06,0.19
2016-06-07,0.20
2016-06-08,0.20
2016-06-09,0.21
2016-06-10,0.18
2016-06-13,0.23
2016-06-14,0.24
2016-06-15,0.23
2016-06-16,0.23
2016-06-17,0.22
2016-06-20,0.23
2016-06-21,0.25
2016-06-22,0.25
2016-06-23,0.27
2016-06-24,0.24
2016-06-27,0.22
2016-06-28,0.25
2016-06-29,0.18
2016-06-30,0.20
2016-07-01,0.24
2016-07-04,.
2016-07-05,0.27
2016-07-06,0.26
2016-07-07,0.27
2016-07-08,0.26
2016-07-11,0.28
2016-07-12,0.29
2016-07-13,0.29
2016-07-14,0.29
2016-07-15,0.27
2016-07-18,0.26
2016-07-19,0.29
2016-07-20,0.28
2016-07-21,0.28
2016-07-22,0.29
2016-07-25,0.28
2016-07-26,0.24
2016-07-27,0.25
2016-07-28,0.19
2016-07-29,0.19
2016-08-01,0.20
2016-08-02,0.28
2016-08-03,0.26
2016-08-04,0.24
2016-08-05,0.23
2016-08-08,0.27
2016-08-09,0.27
2016-08-10,0.27
2016-08-11,0.27
2016-08-12,0.27
2016-08-15,0.26
2016-08-16,0.27
2016-08-17,0.27
2016-08-18,0.27
2016-08-19,0.27
2016-08-22,0.24
2016-08-23,0.28
2016-08-24,0.28
2016-08-25,0.28
2016-08-26,0.28
2016-08-29,0.25
2016-08-30,0.23
2016-08-31,0.26
2016-09-01,0.27
2016-09-02,0.25
2016-09-05,.
2016-09-06,0.24
2016-09-07,0.25
2016-09-08,0.26
2016-09-09,0.24
2016-09-12,0.24
2016-09-13,0.25
2016-09-14,0.24
2016-09-15,0.20
2016-09-16,0.20
2016-09-19,0.16
2016-09-20,0.17
2016-09-21,0.12
2016-09-22,0.10
2016-09-23,0.09
2016-09-26,0.12
2016-09-27,0.16
2016-09-28,0.14
2016-09-29,0.12
2016-09-30,0.20
2016-10-03,0.25
2016-10-04,0.28
2016-10-05,0.26
2016-10-06,0.26
2016-10-07,0.26
2016-10-10,.
2016-10-11,0.27
2016-10-12,0.26
2016-10-13,0.26
2016-10-14,0.26
2016-10-17,0.24
2016-10-18,0.26
2016-10-19,0.25
2016-10-20,0.25
2016-10-21,0.25
2016-10-24,0.23
2016-10-25,0.22
2016-10-26,0.25
2016-10-27,0.19
2016-10-28,0.18
2016-10-31,0.20
2016-11-01,0.24
2016-11-02,0.24
2016-11-03,0.24
2016-11-04,0.25
2016-11-07,0.28
2016-11-08,0.28
2016-11-09,0.30
2016-11-10,0.30
2016-11-11,.
2016-11-14,0.32
2016-11-15,0.30
2016-11-16,0.32
2016-11-17,0.30
2016-11-18,0.28
2016-11-21,0.28
2016-11-22,0.34
2016-11-23,0.35
2016-11-24,.
2016-11-25,0.34
2016-11-28,0.32
2016-11-29,0.34
2016-11-30,0.38
2016-12-01,0.32
2016-12-02,0.34
2016-12-05,0.34
2016-12-06,0.35
2016-12-07,0.38
2016-12-08,0.39
2016-12-09,0.41
2016-12-12,0.42
2016-12-13,0.47
2016-12-14,0.49
2016-12-15,0.48
2016-12-16,0.46
2016-12-19,0.45
2016-12-20,0.48
2016-12-21,0.46
2016-12-22,0.42
2016-12-23,0.42
2016-12-26,.
2016-12-27,0.50
2016-12-28,0.48
2016-12-29,0.39
2016-12-30,0.44
2017-01-02,.
2017-01-03,0.52
2017-01-04,0.49
2017-01-05,0.51
2017-01-06,0.50
2017-01-09,0.50
2017-01-10,0.51
2017-01-11,0.51
2017-01-12,0.52
2017-01-13,0.52
2017-01-16,.
2017-01-17,0.52
2017-01-18,0.48
2017-01-19,0.47
2017-01-20,0.46
2017-01-23,0.46
2017-01-24,0.50
2017-01-25,0.48
2017-01-26,0.49
2017-01-27,0.49
2017-01-30,0.49
2017-01-31,0.50
2017-02-01,0.50
2017-02-02,0.50
2017-02-03,0.49
2017-02-06,0.48
2017-02-07,0.51
2017-02-08,0.52
2017-02-09,0.51
2017-02-10,0.51
2017-02-13,0.50
2017-02-14,0.51
2017-02-15,0.53
2017-02-16,0.51
2017-02-17,0.50
2017-02-20,.
2017-02-21,0.49
2017-02-22,0.47
2017-02-23,0.39
2017-02-24,0.40
2017-02-27,0.44
2017-02-28,0.40
2017-03-01,0.46
2017-03-02,0.52
2017-03-03,0.56
2017-03-06,0.56
2017-03-07,0.55
2017-03-08,0.54
2017-03-09,0.50
2017-03-10,0.60
2017-03-13,0.69
2017-03-14,0.77
2017-03-15,0.71
2017-03-16,0.68
2017-03-17,0.71
2017-03-20,0.70
2017-03-21,0.76
2017-03-22,0.74
2017-03-23,0.73
2017-03-24,0.73
2017-03-27,0.73
2017-03-28,0.75
2017-03-29,0.76
2017-03-30,0.75
2017-03-31,0.74
2017-04-03,0.73
2017-04-04,0.77
2017-04-05,0.77
2017-04-06,0.78
2017-04-07,0.77
2017-04-10,0.77
2017-04-11,0.74
2017-04-12,0.77
2017-04-13,0.76
2017-04-14,.
2017-04-17,0.76
2017-04-18,0.76
2017-04-19,0.75
2017-04-20,0.73
2017-04-21,0.72
2017-04-24,0.74
2017-04-25,0.73
2017-04-26,0.74
2017-04-27,0.70
2017-04-28,0.68
2017-05-01,0.67
2017-05-02,0.72
2017-05-03,0.73
2017-05-04,0.71
2017-05-05,0.71
2017-05-08,0.73
2017-05-09,0.74
2017-05-10,0.71
2017-05-11,0.68
2017-05-12,0.69
2017-05-15,0.73
2017-05-16,0.72
2017-05-17,0.72
2017-05-18,0.73
2017-05-19,0.71
2017-05-22,0.70
2017-05-23,0.76
2017-05-24,0.76
2017-05-25,0.72
2017-05-26,0.75
2017-05-29,.
2017-05-30,0.77
2017-05-31,0.86
2017-06-01,0.82
2017-06-02,0.82
2017-06-05,0.83
2017-06-06,0.83
2017-06-07,0.84
2017-06-08,0.80
2017-06-09,0.80
2017-06-12,0.82
2017-06-13,0.89
2017-06-14,0.90
2017-06-15,0.86
2017-06-16,0.85
2017-06-19,0.85
2017-06-20,0.88
2017-06-21,0.85
2017-06-22,0.80
2017-06-23,0.76
2017-06-26,0.81
2017-06-27,0.89
2017-06-28,0.89
2017-06-29,0.88
2017-06-30,0.84
2017-07-03,0.96
2017-07-04,.
2017-07-05,0.97
2017-07-06,0.95
2017-07-07,0.94
2017-07-10,0.95
2017-07-11,0.97
2017-07-12,0.94
2017-07-13,0.95
2017-07-14,0.93
2017-07-17,0.95
2017-07-18,0.95
2017-07-19,0.99
2017-07-20,1.00
2017-07-21,1.00
2017-07-24,1.00
2017-07-25,0.96
2017-07-26,1.02
2017-07-27,1.01
2017-07-28,1.00
2017-07-31,1.00
2017-08-01,1.00
2017-08-02,1.02
2017-08-03,1.00
2017-08-04,1.00
2017-08-07,0.99
2017-08-08,1.00
2017-08-09,1.01
2017-08-10,1.02
2017-08-11,0.99
2017-08-14,0.95
2017-08-15,0.97
2017-08-16,0.97
2017-08-17,0.95
2017-08-18,0.97
2017-08-21,0.95
2017-08-22,0.93
2017-08-23,0.98
2017-08-24,0.98
2017-08-25,0.99
2017-08-28,0.99
2017-08-29,0.96
2017-08-30,0.96
2017-08-31,0.95
2017-09-01,0.96
2017-09-04,.
2017-09-05,1.30
2017-09-06,1.04
2017-09-07,0.98
2017-09-08,0.96
2017-09-11,0.97
2017-09-12,0.99
2017-09-13,0.99
2017-09-14,0.99
2017-09-15,0.98
2017-09-18,0.96
2017-09-19,0.97
2017-09-20,0.98
2017-09-21,0.99
2017-09-22,0.97
2017-09-25,0.97
2017-09-26,0.96
2017-09-27,0.99
2017-09-28,0.97
2017-09-29,0.96
2017-10-02,0.95
2017-10-03,1.01
2017-10-04,1.00
2017-10-05,1.02
2017-10-06,1.03
2017-10-09,.
2017-10-10,1.03
2017-10-11,1.04
2017-10-12,0.99
2017-10-13,0.97
2017-10-16,0.97
2017-10-17,0.99
2017-10-18,0.99
2017-10-19,0.99
2017-10-20,0.99
2017-10-23,1.00
2017-10-24,1.00
2017-10-25,1.01
2017-10-26,0.99
2017-10-27,0.98
2017-10-30,0.97
2017-10-31,0.99
2017-11-01,1.06
2017-11-02,1.02
2017-11-03,1.02
2017-11-06,1.03
2017-11-07,1.05
2017-11-08,1.05
2017-11-09,1.07
2017-11-10,1.06
2017-11-13,1.07
2017-11-14,1.06
2017-11-15,1.08
2017-11-16,1.08
2017-11-17,1.08
2017-11-20,1.09
2017-11-21,1.15
2017-11-22,1.16
2017-11-23,.
2017-11-24,1.14
2017-11-27,1.15
2017-11-28,1.16
2017-11-29,1.17
2017-11-30,1.14
2017-12-01,1.14
2017-12-04,1.16
2017-12-05,1.21
2017-12-06,1.18
2017-12-07,1.16
2017-12-08,1.14
2017-12-11,1.18
2017-12-12,1.26
2017-12-13,1.22
2017-12-14,1.21
2017-12-15,1.24
2017-12-18,1.26
2017-12-19,1.25
2017-12-20,1.22
2017-12-21,1.21
2017-12-22,1.15
2017-12-25,.
2017-12-26,1.24
2017-12-27,1.18
2017-12-28,1.19
2017-12-29,1.28
2018-01-01,.
2018-01-02,1.29
2018-01-03,1.29
2018-01-04,1.28
2018-01-05,1.27
2018-01-08,1.30
2018-01-09,1.27
2018-01-10,1.31
2018-01-11,1.32
2018-01-12,1.31
2018-01-15,.
2018-01-16,1.33
2018-01-17,1.31
2018-01-18,1.29
2018-01-19,1.28
2018-01-22,1.27
2018-01-23,1.26
2018-01-24,1.25
2018-01-25,1.23
2018-01-26,1.24
2018-01-29,1.28
2018-01-30,1.49
2018-01-31,1.43
2018-02-01,1.41
2018-02-02,1.40
2018-02-05,1.40
2018-02-06,1.48
2018-02-07,1.36
2018-02-08,1.32
2018-02-09,1.31
2018-02-12,1.35
2018-02-13,1.34
2018-02-14,1.32
2018-02-15,1.30
2018-02-16,1.35
2018-02-19,.
2018-02-20,1.39
2018-02-21,1.40
2018-02-22,1.34
2018-02-23,1.38
2018-02-26,1.39
2018-02-27,1.49
2018-02-28,1.50
2018-03-01,1.50
2018-03-02,1.50
2018-03-05,1.53
2018-03-06,1.56
2018-03-07,1.57
2018-03-08,1.57
2018-03-09,1.57
2018-03-12,1.60
2018-03-13,1.64
2018-03-14,1.71
2018-03-15,1.70
2018-03-16,1.71
2018-03-19,1.70
2018-03-20,1.76
2018-03-21,1.71
2018-03-22,1.67
2018-03-23,1.69
2018-03-26,1.71
2018-03-27,1.69
2018-03-28,1.65
2018-03-29,1.63
2018-03-30,.
2018-04-02,1.68
2018-04-03,1.70
2018-04-04,1.67
2018-04-05,1.67
2018-04-06,1.68
2018-04-09,1.67
2018-04-10,1.63
2018-04-11,1.64
2018-04-12,1.65
2018-04-13,1.64
2018-04-16,1.64
2018-04-17,1.68
2018-04-18,1.67
2018-04-19,1.67
2018-04-20,1.65
2018-04-23,1.69
2018-04-24,1.70
2018-04-25,1.65
2018-04-26,1.62
2018-04-27,1.62
2018-04-30,1.65
2018-05-01,1.68
2018-05-02,1.69
2018-05-03,1.68
2018-05-04,1.67
2018-05-07,1.69
2018-05-08,1.69
2018-05-09,1.68
2018-05-10,1.69
2018-05-11,1.68
2018-05-14,1.70
2018-05-15,1.69
2018-05-16,1.69
2018-05-17,1.70
2018-05-18,1.68
2018-05-21,1.71
2018-05-22,1.73
2018-05-23,1.76
2018-05-24,1.74
2018-05-25,1.70
2018-05-28,.
2018-05-29,1.77
2018-05-30,1.77
2018-05-31,1.76
2018-06-01,1.74
2018-06-04,1.77
2018-06-05,1.82
2018-06-06,1.81
2018-06-07,1.78
2018-06-08,1.78
2018-06-11,1.82
2018-06-12,1.81
2018-06-13,1.82
2018-06-14,1.81
2018-06-15,1.82
2018-06-18,1.84
2018-06-19,1.85
2018-06-20,1.85
2018-06-21,1.85
2018-06-22,1.83
2018-06-25,1.80
2018-06-26,1.79
2018-06-27,1.79
2018-06-28,1.76
2018-06-29,1.77
2018-07-02,1.90
2018-07-03,1.91
2018-07-04,.
2018-07-05,1.87
2018-07-06,1.86
2018-07-09,1.87
2018-07-10,1.88
2018-07-11,1.89
2018-07-12,1.89
2018-07-13,1.87
2018-07-16,1.90
2018-07-17,1.93
2018-07-18,1.90
2018-07-19,1.89
2018-07-20,1.86
2018-07-23,1.88
2018-07-24,1.92
2018-07-25,1.90
2018-07-26,1.89
2018-07-27,1.90
2018-07-30,1.91
2018-07-31,1.94
2018-08-01,1.93
2018-08-02,1.89
2018-08-03,1.90
2018-08-06,1.92
2018-08-07,1.96
2018-08-08,1.93
2018-08-09,1.91
2018-08-10,1.92
2018-08-13,1.93
2018-08-14,1.96
2018-08-15,1.96
2018-08-16,1.96
2018-08-17,1.95
2018-08-20,1.93
2018-08-21,1.94
2018-08-22,1.95
2018-08-23,1.94
2018-08-24,1.95
2018-08-27,1.96
2018-08-28,1.96
2018-08-29,1.97
2018-08-30,1.97
2018-08-31,1.95
2018-09-03,.
2018-09-04,2.00
2018-09-05,2.00
2018-09-06,1.98
2018-09-07,1.98
2018-09-10,1.98
2018-09-11,2.02
2018-09-12,2.01
2018-09-13,2.01
2018-09-14,2.02
2018-09-17,2.02
2018-09-18,2.05
2018-09-19,2.03
2018-09-20,2.03
2018-09-21,2.05
2018-09-24,2.07
2018-09-25,2.12
2018-09-26,2.11
2018-09-27,2.10
2018-09-28,2.12
2018-10-01,2.13
2018-10-02,2.14
2018-10-03,2.15
2018-10-04,2.16
2018-10-05,2.15
2018-10-08,.
2018-10-09,2.17
2018-10-10,2.18
2018-10-11,2.14
2018-10-12,2.14
2018-10-15,2.17
2018-10-16,2.19
2018-10-17,2.20
2018-10-18,2.19
2018-10-19,2.19
2018-10-22,2.18
2018-10-23,2.21
2018-10-24,2.20
2018-10-25,2.19
2018-10-26,2.16
2018-10-29,2.17
2018-10-30,2.21
2018-10-31,2.20
2018-11-01,2.21
2018-11-02,2.19
2018-11-05,2.20
2018-11-06,2.23
2018-11-07,2.23
2018-11-08,2.21
2018-11-09,2.21
2018-11-12,.
2018-11-13,2.24
2018-11-14,2.24
2018-11-15,2.20
2018-11-16,2.21
2018-11-19,2.23
2018-11-20,2.23
2018-11-21,2.25
2018-11-22,.
2018-11-23,2.25
2018-11-26,2.24
2018-11-27,2.31
2018-11-28,2.31
2018-11-29,2.31
2018-11-30,2.31
2018-12-03,2.30
2018-12-04,2.37
2018-12-05,.
2018-12-06,2.36
2018-12-07,2.32
2018-12-10,2.32
2018-12-11,2.28
2018-12-12,2.30
2018-12-13,2.36
2018-12-14,2.36
2018-12-17,2.36
2018-12-18,2.35
